161350121|1228|VGK@MIN
161350122|1106|SJS@MIN
161350126|1107|TBL@MIN
161350128|0121|DET@MIN
161350130|0319|CGY@MIN
161350131|0123|NYR@MIN
161350132|1208|EDM@MIN
161350133|1218|ANA@MIN
161350134|0126|VAN@MIN
161350136|0218|LAK@MIN
161350757|1002|BOS@WPG
161350767|1009|ANA@WPG
161350780|1007|COL@WPG
161379701|1025|COL@NSH
161379702|1003|DAL@NSH
161379704|0223|WPG@NSH
161379706|0304|UTA@NSH
161379707|1203|CHI@NSH
161379709|1121|PIT@NSH
161379711|1205|CBJ@NSH
161379712|0120|VAN@NSH
161379717|0216|NJD@NSH
161379720|0323|NYR@NSH
161379722|0112|PHI@NSH
161379723|0320|BOS@NSH
161379725|0105|EDM@NSH
161379728|1226|DET@NSH
161379729|1130|OTT@NSH
161379730|0213|ANA@NSH
161379731|0406|SEA@NSH
161379734|1031|TBL@NSH
161379736|1107|STL@NSH
161379737|1013|VGK@NSH
161379738|1029|WSH@NSH
161379740|0218|TOR@NSH
161379741|0126|VGK@NSH
161379742|0330|BUF@NSH
161379743|1215|SEA@NSH
161379747|0403|CGY@NSH
161379749|1027|NYI@NSH
161379750|0114|MTL@NSH
161379751|1103|CAR@NSH
161379754|0123|LAK@NSH
161379755|1015|SJS@NSH
161379756|1001|MIN@NSH
161379757|0101|FLA@NSH
161379761|0225|EDM@NSH
161379762|0227|LAK@NSH
161381037|1206|NSH@STL
161381039|0227|MIN@STL
161381040|1127|DAL@STL
161381043|0108|OTT@STL
161381044|0311|SJS@STL
161381046|0103|CGY@STL
161381048|0408|SEA@STL
161381049|1010|CBJ@STL
161381050|1027|MTL@STL
161381052|0309|NSH@STL
161381054|0209|LAK@STL
161381055|1215|WPG@STL
161381056|0116|MIN@STL
161381060|1208|COL@STL
161381063|1204|CHI@STL
161381064|0126|CHI@STL
161381065|1122|EDM@STL
161381066|1128|WSH@STL
161381068|1121|NJD@STL
161381069|1024|CAR@STL
161381070|1008|SJS@STL
161381072|0215|PHI@STL
161381074|1213|TBL@STL
161381076|0123|TOR@STL
161381077|1114|FLA@STL
161381078|1020|WPG@STL
161381079|0401|CGY@STL
161381080|0221|UTA@STL
161381082|0128|COL@STL
161381083|0325|NYI@STL
161381084|1022|VGK@STL
161381085|0328|BUF@STL
161381086|0130|VAN@STL
161381087|1110|DET@STL
161381089|0410|UTA@STL
161381090|1117|ANA@STL
161381092|1227|NYR@STL
161381094|0225|VAN@STL
161381095|0313|ANA@STL
161381096|1202|PIT@STL
161381098|1029|BOS@STL
161390848|0919|VGK@LA|P
161400521|0319|CHI@UTA
161400522|0401|ANA@UTA
161400524|1118|COL@UTA
161400525|1202|WPG@UTA
161400527|0326|SJS@UTA
161400529|1001|CHI@UTA
161400530|0226|FLA@UTA
161400531|1215|NYI@UTA
161400532|0224|CGY@UTA
161400533|1121|ANA@UTA
161400535|1019|PIT@UTA
161400537|0407|DAL@UTA
161400539|1013|TOR@UTA
161400541|0131|NSH@UTA
161400543|0129|WSH@UTA
161400546|1116|VAN@UTA
161400547|0212|CGY@UTA
161400548|0125|MIN@UTA
161400549|0315|DAL@UTA
161400550|0405|WPG@UTA
161400554|1017|EDM@UTA
161400555|0127|BUF@UTA
161400560|1024|TBL@UTA
161400562|0219|SEA@UTA
161400563|1114|SJS@UTA
161400565|0123|BOS@UTA
161400566|0105|OTT@UTA
161400567|0113|DET@UTA
161400569|0309|NYR@UTA
161400573|1130|MTL@UTA
161400574|1210|STL@UTA
161400575|0217|CBJ@UTA
161400577|0102|VAN@UTA
161400578|0115|LAK@UTA
161400579|0202|NSH@UTA
161400580|1229|NJD@UTA
161400583|1217|CAR@UTA
161402507|1102|COL@CHI
161402508|1017|DAL@CHI
